iter	Passed	Remaining
0	5	571
1	10	519
2	14	459
3	17	410
4	20	398
5	24	387
6	28	379
7	32	378
8	36	369
9	41	369
10	44	363
11	48	354
12	51	347
13	55	340
14	58	332
15	61	325
16	65	318
17	68	313
18	72	307
19	74	297
20	76	288
21	79	280
22	81	271
23	84	268
24	86	260
25	88	251
26	89	243
27	91	234
28	92	226
29	93	219
30	95	212
31	96	205
32	98	199
33	99	192
34	100	186
35	101	181
36	103	175
37	104	170
38	105	164
39	106	160
40	108	155
41	108	149
42	109	145
43	110	140
44	111	136
45	112	131
46	113	127
47	114	123
48	115	119
49	115	115
50	116	112
51	117	108
52	118	105
53	119	101
54	119	98
55	120	94
56	121	91
57	122	88
58	123	85
59	123	82
60	124	79
61	125	77
62	126	74
63	127	71
64	128	69
65	129	66
66	130	64
67	131	61
68	132	59
69	133	57
70	134	54
71	134	52
72	135	50
73	136	47
74	137	45
75	138	43
76	139	41
77	139	39
78	140	37
79	141	35
80	142	33
81	143	31
82	144	29
83	144	27
84	145	25
85	146	23
86	147	22
87	148	20
88	150	18
89	151	16
90	152	15
91	153	13
92	154	11
93	155	9
94	167	8
95	168	7
96	168	5
97	170	3
98	171	1
99	173	0
